date,open,high,low,close,volume
2012-01-03,16.591754913330078,16.660076426170992,16.266609127824477,16.28082076267912,146912940
2012-01-04,16.663318634033203,16.712439806355007,16.472318670374516,16.58227924725151,114445440
2012-01-05,16.432172775268555,16.555848962678347,16.362855424137052,16.50996997562824,131184684
2012-01-06,16.208011627197266,16.456859662264378,16.20227604117125,16.435663840213962,107608284
2012-01-09,15.52081298828125,16.13270863573725,15.490143375321619,16.120241622413715,232671096
2012-01-10,15.537768363952637,15.803571350585601,15.38242482206415,15.702586645602379,175648176
2012-01-11,15.608085632324219,15.693611057973252,15.487401707158336,15.546745453423913,95904000
2012-01-12,15.699843406677246,15.780880891395995,15.621548284718498,15.739239927824022,74932992
2012-01-13,15.583898544311523,15.6327698090553,15.485905154177814,15.615564949739891,92199708
2012-01-17,15.673413276672363,15.758190868025698,15.60110269868579,15.758190868025698,76295628
2012-01-18,15.781379699707031,15.808558167951004,15.512335479557214,15.624789456407244,110357532
2012-01-19,15.947443962097168,15.982851419557635,15.745224638667954,15.982851419557635,251959788
2012-01-20,14.611446380615234,14.736369269724134,14.504477130217662,14.724649137414113,422628948
2012-01-23,14.599727630615234,14.678021803654278,14.540881808077922,14.61169672344368,136379484
2012-01-24,14.485278129577637,14.653586607852812,14.412218771948714,14.61967576198096,122109768
2012-01-25,14.20002555847168,14.429922217407741,14.122478267681837,14.40000043623555,199308492
2012-01-26,14.165367126464844,14.324449835259557,14.076849427005042,14.262113815311274,128918952
2012-01-27,14.461589813232422,14.470067762233674,14.196034832321647,14.232191070776887,144555300
2012-01-30,14.404489517211914,14.462088637928098,14.297519314354863,14.413466336754706,93126780
2012-01-31,14.46483039855957,14.561826986928793,14.341154213301309,14.536892011612151,85610304
2012-02-01,14.482783317565918,14.59922825731357,14.440644434405181,14.585264632904446,92735172
2012-02-02,14.58950424194336,14.621919426713,14.513953381254925,14.583519695474882,96491412
2012-02-03,14.869271278381348,14.887723788881189,14.662812971500365,14.72789230303717,126613260
2012-02-06,15.1874361038208,15.230822639919534,14.811422625063976,14.836356651372716,147036816
2012-02-07,15.129587173461914,15.194916409229902,15.054534238116991,15.139062863111205,83600316
2012-02-08,15.20638656616211,15.243788553596897,15.078970278589882,15.176214875782563,73382544
2012-02-09,15.246532440185547,15.322334163715785,15.18519321267058,15.260496065608963,90497412
2012-02-10,15.108144760131836,15.16349848719149,15.060519250712067,15.157264980771025,92914992
2012-02-13,15.264983177185059,15.305875359836454,15.210626240428299,15.22259438283882,72579348
2012-02-14,15.204143524169922,15.259997075195331,15.079470537981205,15.24852780282124,72075852
2012-02-15,15.099416732788086,15.28318544121131,15.024612756116145,15.28318544121131,96938964
2012-02-16,15.123353958129883,15.180454206592369,14.904178743719827,15.031096163731009,101134764
2012-02-17,15.07647705078125,15.151032066358404,15.020623504252963,15.084705089015797,97866036
2012-02-21,15.30986499786377,15.406611676818722,15.032591794450294,15.057277809856533,99132768
2012-02-22,15.158761978149414,15.3791839020255,15.128092365596661,15.258998854446114,78601320
2012-02-23,15.113131523132324,15.158761550186616,14.969508114778552,15.135323186019162,82117800
2012-02-24,15.207633972167969,15.251269467825814,15.09817036742729,15.1440503055133,77346576
2012-02-27,15.192922592163086,15.268972321945027,15.086950130622578,15.125099950712858,72483444
2012-02-28,15.419329643249512,15.453739360728234,15.15227899206247,15.210128025266577,113790096
2012-02-29,15.415838241577148,15.599108088297056,15.347267767944777,15.42456515089008,125350524
